## Результаты парсинга

> Данные собраны парсером `parser.py` · маршруты из `data/routes.csv`

| Компания | Откуда | Куда | Вес, кг | Цена, ₽ | Мин. дней | Макс. дней |
|----------|--------|------|---------|---------|-----------|-----------|
| СДЭК | Москва | Казань | 5 | 1 240 | 2 | 3 |
| СДЭК | Москва | Екатеринбург | 5 | 1 580 | 3 | 4 |
| СДЭК | Москва | Новосибирск | 5 | 1 950 | 4 | 5 |
| СДЭК | Москва | Краснодар | 5 | 1 380 | 3 | 4 |
| СДЭК | Москва | Санкт-Петербург | 5 | 980 | 2 | 3 |
| СДЭК | Москва | Самара | 5 | 1 120 | 2 | 3 |
| СДЭК | Москва | Ростов-на-Дону | 5 | 1 450 | 3 | 4 |
| СДЭК | Москва | Уфа | 5 | 1 680 | 3 | 5 |
| СДЭК | Москва | Пермь | 5 | 1 520 | 3 | 4 |
| СДЭК | Москва | Воронеж | 5 | 890 | 1 | 2 |
| Возовоз | Москва | Казань | 5 | 1 090 | — | — |
| Возовоз | Москва | Екатеринбург | 5 | 1 320 | — | — |
| Возовоз | Москва | Новосибирск | 5 | 1 780 | — | — |
| Возовоз | Москва | Краснодар | 5 | 1 210 | — | — |
| Возовоз | Москва | Санкт-Петербург | 5 | 850 | — | — |
| Возовоз | Москва | Самара | 5 | 990 | — | — |
| Возовоз | Москва | Ростов-на-Дону | 5 | 1 290 | — | — |
| Возовоз | Москва | Уфа | 5 | 1 540 | — | — |
| Возовоз | Москва | Пермь | 5 | 1 380 | — | — |
| Возовоз | Москва | Воронеж | 5 | 780 | — | — |
