| origin | destination     | origin_code | dest_code | weight_kg |
| ------ | --------------- | ----------- | --------- | --------- |
| Москва | Казань          | 44          | 270       | 5         |
| Москва | Екатеринбург    | 44          | 72        | 5         |
| Москва | Новосибирск     | 44          | 50        | 5         |
| Москва | Краснодар       | 44          | 38        | 5         |
| Москва | Санкт-Петербург | 44          | 137       | 5         |
| Москва | Самара          | 44          | 243       | 5         |
| Москва | Ростов-на-Дону  | 44          | 237       | 5         |
| Москва | Уфа             | 44          | 313       | 5         |
| Москва | Пермь           | 44          | 193       | 5         |
| Москва | Воронеж         | 44          | 25        | 5         |
