title,company,salary,city
Менеджер по логистике,ООО АгроДоставка,от 55 000 руб.,Москва
Логист (малый бизнес),ИП Серов А.В.,от 45 000 до 60 000 руб.,Краснодар
Координатор доставки,EcoMarket,от 50 000 руб.,Москва
Специалист по грузоперевозкам,ФермаЭкспресс,Не указана,Санкт-Петербург
Менеджер по доставке,КрафтЛог,от 40 000 до 55 000 руб.,Екатеринбург
Логист,ООО Зелёный путь,от 60 000 руб.,Москва
Диспетчер транспортного отдела,АгроПлюс,от 38 000 до 48 000 руб.,Воронеж
Менеджер по логистике,СвежаяДоставка,от 50 000 руб.,Казань
Специалист по работе с перевозчиками,ФермерМаркет,от 45 000 до 65 000 руб.,Москва
Логист малого бизнеса,ЭкоТранспорт,от 42 000 руб.,Новосибирск
Менеджер по транспорту,КрестьянскийДвор,Не указана,Краснодар
Координатор логистики,НатуральноеФерм,от 55 000 до 70 000 руб.,Санкт-Петербург
Логист,ИП Иванова М.А.,от 40 000 руб.,Ростов-на-Дону
Специалист по доставке,ЭкоФерма,от 45 000 руб.,Москва
Диспетчер,ФрешЛог,от 35 000 до 45 000 руб.,Самара
Менеджер по логистике,ОрганикДоставка,от 58 000 руб.,Москва
Логист,АгроТранс,Не указана,Краснодар
Специалист отдела доставки,ЗеленаяФерма,от 48 000 руб.,Казань
Менеджер грузоперевозок,МалыйБизнесЛог,от 50 000 до 65 000 руб.,Екатеринбург
Координатор доставки,СвежийМаркет,от 44 000 руб.,Воронеж
Логист,КрафтФуд,от 52 000 руб.,Москва
Менеджер по доставке,ЭкоПродукт,Не указана,Нижний Новгород
Специалист по логистике,ФермаОнлайн,от 47 000 руб.,Санкт-Петербург
Диспетчер,АгроЭкспресс,от 36 000 до 46 000 руб.,Ростов-на-Дону
Менеджер по транспорту,ЗеленыйПуть,от 60 000 руб.,Москва
Логист,ОрганикФерм,от 43 000 руб.,Краснодар
Координатор грузоперевозок,СвежийОгород,Не указана,Самара
Специалист логистики,ФермаФреш,от 49 000 руб.,Москва
Менеджер отдела доставки,ЭкоЛавка,от 55 000 до 68 000 руб.,Казань
Логист,КрафтТранс,от 41 000 руб.,Новосибирск
